P_NAME,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_LOG_LUM,S_LOG_LUM_ERROR_MIN,S_LOG_LUM_ERROR_MAX,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
Wolf 1061 d,7.7009725,-1.0615455,1.1187546,2.6904,,,2015,2016-02,217.21,-0.52,0.55,0.47,-0.017,0.015,0.55,-0.09,0.08,,,,102,-70,70,,,,,,,Radial Velocity,Msini,Wolf 1061,247.57483,-12.667687,10.1,4.30592,-0.00118,0.00118,-0.09,-0.09,0.09,0.29,,,0.31,-0.03,0.03,M3.5,-1.991,-0.452,0.217,,,,3342,-49,49,4.9,1.6918598,2.8623894,1.0639271,0.39545312,0.006311677,0.5410875,0.2115,0.7285,0.48984057,0.055339111,0.019237157,0.22823343,115.70911,94.881192,176.09204,130.67525,107.1534,198.86829,Superterran,0.31,M,16.504989,16 30 17.9617,-12 40 03.6718,0.010209395,0.08279293,0.21651733,0.10486871,0.20527316,0.11119772,0.20527316,0.1012226,0.20527316,0.27281219,0.020439625,0.3053635,0,0,Cold,0,0.28899284,Ophiuchus,Oph,Serpent Holder
GJ 667 C g,4.449592,-2.224796,2.542624,1.98417,,,2013,2013-08,256.2,-7.9,13.8,0.549,-0.058,0.052,0.08,-0.08,0.41,,,,51.6,-51.6,308.4,,,,,,,Radial Velocity,Msini,GJ 667 C,259.75106,-34.997765,10.602,7.24396,-0.00485,0.00486,-0.55,-0.1,0.1,0.33,-0.02,0.02,,,,M1.5 V,-1.863,-0.03,0.028,2,,,3350,-50,50,4.69,1.4975132,2.2425458,1.1302186,0.5696178,0.012024881,0.5507568,0.50508,0.59292,0.54944018,0.0456299,0.038994899,0.053737772,117.60742,113.21315,122.66335,132.81909,127.85646,138.52898,Superterran,0.42929603,M,17.316738,17 19 00.2579,-34 59 51.9544,0.013708818,0.09593028,0.25077627,0.12150901,0.23775302,0.12884122,0.23775302,0.11728457,0.23775302,0.31612859,0.021634516,0.27748178,0,0,Cold,0,0.31376804,Scorpius,Sco,Scorpion
GJ 682 c,8.6989524,-4.5989712,5.8003611,2.89218,,,2014,2014-06,57.32,-0.48,0.45,0.176,-0.009,0.03,0.1,-0.1,0.19,,,,320,,,,,,,,,Radial Velocity,Msini,GJ 682,264.26102,-44.323252,10.94,5.00671,-0.0021,0.0021,,,,0.27,,,0.3,-0.01,0.01,M3.5 V,-2.699,,,,,,3028,,,4.93,1.7342864,3.0077493,1.0399592,0.35957625,0.005041674,0.17688,0.1584,0.1936,0.17622074,0.064886906,0.053356741,0.079705749,128.34129,122.44533,135.36841,144.94132,138.28276,152.87734,Superterran,0.3,M,17.617403,17 37 02.6492,-44 19 23.7068,0.001999862,0.03675957,0.097572148,0.046560552,0.09250409,0.049385705,0.09250409,0.04493835,0.09250409,0.1207435,0.011637164,0.29817579,0,0,Cold,0,0.29026069,Scorpius,Sco,Scorpion
TRAPPIST-1 h,0.32736284,-0.01906968,0.01906968,0.75107,-0.01121,0.01121,2017,2016-05,18.772866,-0.000214,0.000214,0.06189,-0.00053,0.00053,0.00567,-0.00121,0.00121,89.805,-0.013,0.013,338.92,-9.66,9.66,,,,0.378,-0.023,0.024,Transit,Mass,TRAPPIST-1,346.62639,-5.0434618,17.02,12.429889,-0.0187066,0.0187066,0.04,-0.08,0.08,0.09,0,0,0.12,0,0,,-3.257,-0.015,0.015,0.5,,,2566,-26,26,5.24,0.66019842,0.43586196,0.58032135,0.77265947,0.00094667,0.061890995,0.061539084,0.062240916,0.061890255,0.14446612,0.14283941,0.14611606,157.06658,156.6235,157.51409,177.38202,176.88163,177.88741,Subterran,0.12,M,23.108427,23 06 30.3384,-05 02 36.4625,0.00055335,0.019437936,0.052571714,0.024620039,0.049840137,0.026122799,0.049840137,0.023759776,0.049840137,0.063513167,0.003648381,0.14282382,0,0,Cold,0,0.46193647,Aquarius,Aqr,Water Carrier
Kapteyn c,6.9922161,-0.95348401,1.271312,2.54467,,,2014,2014-09,121.54,-0.25,0.25,0.311,-0.014,0.038,0.23,-0.12,0.1,,,,3.9,-33.2,28.9,,,,,,,Radial Velocity,Msini,Kapteyn,77.958661,-45.04302,8.86,3.93305,-0.00041,0.00041,-0.89,,,0.28,-0.01,0.01,0.29,-0.03,0.03,M2.0V,-1.793,-0.113,0.089,,,,3550,-50,50,4.92,1.6576456,2.7477889,1.0798213,0.42434631,0.00700146,0.31922595,0.23947,0.38253,0.31309313,0.17111233,0.11007001,0.2808651,162.20273,146.74461,185.46816,183.18249,165.72498,209.45714,Superterran,0.29,M,5.1972444,05 11 50.0797,-45 02 34.8713,0.016106456,0.10373465,0.26852683,0.13139505,0.25458309,0.13929368,0.25458309,0.12683242,0.25458309,0.34266029,0.028879221,0.30181244,0,0,Cold,0,0.41227235,Pictor,Pic,Painter's Easel
GJ 3323 c,2.3106096,-0.48945512,0.49898996,1.32278,,,2017,2017-06,40.54,-0.19,0.21,0.1264,-0.0022,0.0021,0.17,-0.12,0.21,,,,,,,,,,,,,Radial Velocity,Msini,GJ 3323,75.486882,-6.9485133,12.57,5.37484,-0.00172,0.00172,-0.27,-0.09,0.09,0.16,,,0.12,-0.03,0.03,M4,-2.569,-1.431,0.537,,,,3159,-49,49,,1.3216592,1.746783,1.3205393,0.99830606,0.00255552,0.12822648,0.104912,0.147888,0.12686103,0.17134596,0.12334857,0.24510359,163.01621,150.98314,179.25956,184.1012,170.51173,202.4455,Terran,0.12,M,5.0324591,05 01 56.8527,-06 56 54.6479,0.002697739,0.042638948,0.11248921,0.054007793,0.10664682,0.057277795,0.10664682,0.052127788,0.10664682,0.14023737,0.01224167,0.25045197,0,0,Cold,0,0.49020669,Eridanus,Eri,River
Kepler-1630 b,5.4348589,,,2.18595,-0.10089,0.20178,2016,2016-05,509.9974,-0.003256,0.003256,1.1218,,,0,,,89.95,,,,,,,,,0.0254,-0.0248,0.4275,Transit,M-R relationship,Kepler-1630,297.5083,43.711054,14.278,331.213,-2.151,2.18,-0.46,-0.105,0.225,0.66,-0.03,0.05,0.63,-0.02,0.05,,-0.646,,,5.01,-3.13,5.8,4736,-64.28,97.3,4.66,1.5767906,2.4862686,1.1373858,0.52031649,0.022659417,1.1218,1.1218,1.1218,1.1218,0.17954327,0.17954327,0.17954327,165.8392,165.8392,165.8392,187.28932,187.28932,187.28932,Superterran,0.63,K,19.833888,19 50 01.9958,+43 42 39.7955,0.22594358,0.37671816,0.92089563,0.47717113,0.8730906,0.5051361,0.8730906,0.46065998,0.8730906,1.2834051,0.29485603,0.40742321,0,0,Cold,0,0.44215362,Cygnus,Cyg,Swan
Kepler-441 b,3.337194,,,1.6815,-0.2242,0.2242,2015,2015-02,207.2482,-0.002,0.0022,0.64,-0.13,0.32,0.1,-0.1,0.11,89.97,-0.07,0.03,,,,,,,0.25,-0.25,0.3,Transit,M-R relationship,Kepler-441,284.56695,49.012708,15.567,268.003,-1.8075,1.8075,-0.57,-0.18,0.18,0.57,-0.05,0.05,0.55,-0.05,0.04,,-1.051,-0.15,0.154,1.9,-0.4,0.5,4340,-177,177,4.71,1.4087771,1.984653,1.1802872,0.70192521,0.010384284,0.6432,0.576,0.704,0.64080269,0.21818378,0.17941332,0.26801249,173.79319,165.80918,183.30895,196.2721,187.25542,207.01865,Superterran,0.55,K,18.971131,18 58 16.0725,+49 00 45.7477,0.088920112,0.23971715,0.59673023,0.30363932,0.56575134,0.32158873,0.56575134,0.29312902,0.56575134,0.80512585,0.14220808,0.33009736,0,0,Cold,0,0.51189962,Draco,Dra,Dragon
GJ 514 b,5.1996661,-0.89945325,0.89945325,2.1299,,,2022,2022-04,140.43,-0.41,0.41,0.422,-0.015,0.014,0.45,-0.14,0.15,,,,-143,-28,306,2458696.2,-13.71,7.66,,,,Radial Velocity,Msini,GJ 514,202.50404,10.372539,9.05,7.61778,-0.003175,0.003175,-0.14,-0.09,0.09,0.51,-0.05,0.05,0.5,-0.05,0.05,M0.5-1.0 V,-1.367,-0.102,0.083,0.8,,,3728,-68,68,4.76,1.5624572,2.4412724,1.1461911,0.53814315,0.00503418,0.4647275,0.2321,0.6119,0.43346823,0.27009078,0.11471999,0.79735132,176.16364,148.27048,240.74504,198.94915,167.4482,271.88369,Superterran,0.5,M,13.50027,13 30 00.9727,+10 22 21.1393,0.042953643,0.16896611,0.43352121,0.21402102,0.41101146,0.22684055,0.41101146,0.20659641,0.41101146,0.55958205,0.047884892,0.27537841,1,0,Warm,2,0.52010852,Virgo,Vir,Virgin
TRAPPIST-1 g,1.3221645,-0.03813936,0.03813936,1.13221,-0.01121,0.01121,2017,2016-05,12.352446,-5.40E-05,5.40E-05,0.04683,-0.0004,0.0004,0.00208,-0.00058,0.00058,89.742,-0.012,0.012,191.34,-13.83,13.83,,,,0.379,-0.014,0.018,Transit,Mass,TRAPPIST-1,346.62639,-5.0434618,17.02,12.429889,-0.0187066,0.0187066,0.04,-0.08,0.08,0.09,0,0,0.12,0,0,,-3.257,-0.015,0.015,0.5,,,2566,-26,26,5.24,1.0806356,1.1677732,1.0314104,0.91097095,0.001144861,0.046830101,0.046732594,0.046927406,0.046830026,0.25232055,0.25127362,0.25337294,180.56464,180.3772,180.75277,203.91939,203.7077,204.13185,Terran,0.12,M,23.108427,23 06 30.3384,-05 02 36.4625,0.00055335,0.019437936,0.052571714,0.024620039,0.049840137,0.026122799,0.049840137,0.023759776,0.049840137,0.063513167,0.003648381,0.14282382,1,1,Warm,1,0.57556168,Aquarius,Aqr,Water Carrier
