,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF
0,Wolf 1061 d,2.6904,7.7009725,1.6918598,130.67525
1,GJ 667 C g,1.98417,4.449592,1.4975132,132.81909
2,GJ 682 c,2.89218,8.6989524,1.7342864,144.94132
3,TRAPPIST-1 h,0.75107,0.32736284,0.66019842,177.38202
4,Kapteyn c,2.54467,6.9922161,1.6576456,183.18249
5,GJ 3323 c,1.32278,2.3106096,1.3216592,184.1012
6,Kepler-1630 b,2.18595,5.4348589,1.5767906,187.28932
7,Kepler-441 b,1.6815,3.337194,1.4087771,196.2721
8,GJ 514 b,2.1299,5.1996661,1.5624572,198.94915
9,TRAPPIST-1 g,1.13221,1.3221645,1.0806356,203.91939
10,GJ 180 d,2.65677,7.5611282,1.6870048,204.74187
11,tau Cet f,1.80481,3.9315324,1.475928,208.66189
12,Kepler-186 f,1.16584,1.7067364,1.2099398,211.92657
13,GJ 667 C e,1.44609,2.542624,1.3259997,213.31434
14,GJ 682 b,1.93933,4.3987396,1.5060461,215.03131
15,Kepler-1229 b,1.40125,2.542624,1.3470486,217.1332
16,LHS 1140 b,1.63666,6.378808,1.9741972,221.95452
17,Teegarden's Star c,1.04253,1.1092197,1.0314888,224.65643
18,TRAPPIST-1 f,1.04253,1.0392976,0.99844851,224.92824
19,GJ 357 d,2.34289,6.0991194,1.6134578,226.28493
20,GJ 229 A c,2.86976,8.5749995,1.728599,227.72887
21,Kepler-296 f,1.80481,3.9092844,1.4717461,229.30038
23,K2-288 B b,1.9057,4.2588952,1.4949312,233.91
24,GJ 1061 d,1.15463,1.6399925,1.1917894,246.60128
25,GJ 667 C f,1.44609,2.542624,1.3259997,249.24931
26,GJ 3293 d,2.66798,7.5992676,1.6876974,251.33019
27,Kepler-174 d,2.18595,5.4348589,1.5767906,251.86997
28,TOI-2257 b,2.19716,5.4348589,1.572763,253.72712
29,HD 40307 g,2.56709,7.0875645,1.6616057,255.74628
30,Proxima Cen b,1.07616,1.271312,1.0868952,257.13443
31,TRAPPIST-1 e,0.91922,0.69286505,0.86818963,258.02219
32,Kepler-442 b,1.3452,2.3582838,1.3240507,263.06654
33,Kepler-705 b,2.10748,5.085248,1.5533679,269.13906
34,Kepler-1540 b,2.48862,6.7697365,1.6493263,270.06295
35,GJ 180 c,2.41015,6.401056,1.6296854,270.36815
36,Kepler-1652 b,1.60303,3.17828,1.4080733,275.55162
37,Kepler-1544 b,1.78239,3.813936,1.4628013,275.69635
38,TOI-700 d,1.14342,1.5732486,1.172994,277.58249
39,GJ 667 C c,1.77118,3.813936,1.4674231,278.45489
40,Kepler-443 b,2.3541,6.0387321,1.6016235,278.82944
41,Kepler-283 c,1.81602,3.97285,1.479077,279.79731
43,Kepler-296 e,1.52456,2.9558004,1.3924041,281.66411
44,Kepler-1653 b,2.17474,5.3395104,1.5669208,290.83372
45,Kepler-155 c,2.242,5.6573385,1.5885039,291.44931
46,GJ 433 d,2.14111,5.2219141,1.5616919,291.66045
47,GJ 273 b,1.51335,2.8890565,1.3816827,291.70037
48,Kepler-1410 b,1.78239,3.813936,1.4628013,292.95272
50,Kepler-452 b,1.62545,3.3054112,1.4260211,295.26018
51,TRAPPIST-1 d,0.7847,0.38775016,0.70294957,295.70502
52,Teegarden's Star b,1.02011,1.0488324,1.0139804,297.86567
54,K2-332 b,2.19716,5.4666417,1.577355,299.017
55,Ross 508 b,1.82723,4.0014546,1.4798317,301.89056
56,Kepler-1649 c,1.06495,1.1982116,1.0607234,302.75991
57,K2-18 b,2.36531,8.921432,1.9421074,302.766
58,GJ 163 c,2.49983,6.8015193,1.6494826,303.77722
59,HD 216520 c,3.03791,9.4394917,1.7627343,304.973
60,Wolf 1061 c,1.65908,3.4102945,1.4337132,306.33472
61,K2-72 e,1.28915,2.2120829,1.3099327,306.71731
62,Kepler-440 b,1.9057,4.131764,1.4724498,307.83897
63,HIP 38594 b,2.76887,8.1014358,1.7105261,308.0067
64,GJ 1061 c,1.17705,1.7385192,1.2153246,310.52811
65,Kepler-1638 b,1.87207,4.1635468,1.4913195,312.17102
66,Kepler-1701 b,2.21958,5.5619901,1.5829956,313.91836
67,K2-9 b,2.25321,5.6891213,1.5889922,315.64581
68,Ross 128 b,1.10979,1.3984432,1.1225405,316.67467
70,GJ 180 b,2.43257,6.4900478,1.6333952,320.21645
71,K2-125 b,2.17474,5.403076,1.5762201,321.48003
72,Kepler-1455 b,2.16353,5.3077276,1.5662924,321.81221
73,K2-155 d,1.9057,4.2588952,1.4949312,322.22253
74,Kepler-438 b,1.121,1.4588305,1.140774,323.32719
76,TOI-712 d,2.47741,6.6743881,1.6413711,324.16588
77,Kepler-1606 b,2.07385,4.926334,1.5412506,325.40138
78,GJ 3929 c,2.25321,5.7113692,1.5920961,326.57145
79,Kepler-1512 b,1.17705,1.7575889,1.2219718,327.4292
80,tau Cet e,1.80481,3.9315324,1.475928,328.42972
81,Kepler-61 b,2.15232,5.2759448,1.5656573,328.65176
82,EPIC 201238110 b,1.87207,4.1635468,1.4913195,329.23977
83,Kepler-1552 b,2.4662,6.6743881,1.6450973,329.62684
84,Kepler-235 e,2.21958,5.5619901,1.5829956,330.58331
85,Kepler-1090 b,2.25321,5.6891213,1.5889922,331.59321
86,Kepler-26 e,2.41015,6.3883429,1.6280662,333.24173
87,Kepler-439 b,2.242,5.6573385,1.5885039,334.72802
88,K2-133 e,1.72634,3.655022,1.4550631,334.73274
89,TOI-1452 b,1.67029,4.8214508,1.6989982,336.94251
90,GJ 1132 c,1.43488,2.6411507,1.3567155,337.59722
91,Kepler-69 c,1.71513,3.5596736,1.4406436,339.70029
92,Kepler-1389 b,1.77118,3.7821532,1.461296,340.15069
93,GJ 3473 c,2.63435,7.4085707,1.67699,340.18775
94,Kepler-1649 b,1.02011,1.032941,1.0062694,340.2038
95,Kepler-298 d,2.49983,6.8015193,1.6494826,341.64164
96,Kepler-395 c,1.32278,2.3010747,1.3189294,343.94111
97,GJ 625 b,1.49093,2.8191344,1.3750841,345.11188
98,Kepler-437 b,2.1299,5.2123792,1.5643661,345.75114
99,GJ 414 A b,2.63435,7.5992676,1.6984358,345.96348
100,Kepler-1040 b,2.08506,4.9898996,1.5469869,346.37928
101,Kepler-296 d,2.08506,5.0216824,1.5519058,348.92642
102,L 98-59 e,1.55819,3.0606837,1.4015191,349.75542
103,TOI-1468 c,2.06264,6.639427,1.7941286,350.72967
104,Kepler-1816 b,1.97296,4.5449404,1.5177665,350.90803
105,TRAPPIST-1 c,1.09858,1.3094514,1.0917642,351.06782
106,Kepler-1388 e,2.45499,6.6108225,1.6409785,352.65296
107,K2-384 f,2.21958,5.5619901,1.5829956,353.04088
108,LP 791-18 c,2.30926,5.9433837,1.6042811,355.30895
109,TOI-1266 c,1.55819,2.1993698,1.1880615,356.19223
110,Kepler-560 b,1.71513,3.5914564,1.4470608,356.49242
111,K2-72 c,1.15463,1.6558839,1.1975496,357.55588
112,Kepler-1020 b,2.27563,5.8162525,1.5987141,359.47345
113,GJ 3323 b,1.22189,2.0213861,1.2862002,360.74047
114,Kepler-737 b,1.96175,4.5131576,1.5167654,360.80365
115,HD 85512 b,1.71513,3.496108,1.4277228,360.91468
116,Kepler-267 d,2.27563,5.7844697,1.59434,361.37688
117,GJ 581 c,2.20837,5.4984245,1.5779136,362.03711
118,GJ 251 b,1.82723,4.0014546,1.4798317,362.51159
119,GJ 887 c,2.66798,7.5992676,1.6876974,363.81458
120,HD 20794 e,2.02901,4.7705983,1.5333607,365.19604
121,YZ Cet d,1.03132,1.0901501,1.0281262,368.62853
122,Kepler-152 c,2.38773,6.2929945,1.6234393,368.97396
123,Kepler-1858 b,2.42136,6.4519085,1.6323543,370.75131
124,GJ 676 A e,2.47741,6.6902795,1.643324,370.76516
125,K2-323 b,2.09627,5.0534652,1.5526409,372.79118
126,LTT 3780 c,2.29805,8.6004258,1.9345512,373.37075
127,K2-286 b,2.09627,5.0534652,1.5526409,374.7396
128,K2-152 b,2.28684,5.8480353,1.5991423,377.32196
129,Kepler-1450 b,1.71513,3.5596736,1.4406436,377.37632
130,HD 3167 e,3.09396,9.7414283,1.77441,377.53289
131,Kepler-230 c,2.04022,4.8309856,1.5387901,377.64081
132,Kepler-538 b,2.21958,10.599564,2.1852876,379.80713
133,Kepler-52 d,1.95054,4.449592,1.5103676,380.13252
134,GJ 685 b,2.94823,9.000889,1.7472781,381.52332
135,GJ 411 b,1.44609,2.6888249,1.3635893,382.93697
136,Kepler-54 d,1.52456,2.9558004,1.3924041,383.29702
137,GJ 3293 e,1.62545,3.279985,1.4205258,385.60326
138,Kepler-1849 b,2.38773,6.2929945,1.6234393,385.68677
139,Kepler-236 c,1.99538,4.6720716,1.5301779,390.33164
140,Kepler-249 d,1.5694,3.0892882,1.4030152,390.6923
141,Kepler-186 e,1.26673,2.1548739,1.3042742,390.86283
142,K2-239 d,1.09858,1.3666604,1.1153585,390.9538
143,Kepler-446 d,1.3452,2.3900666,1.332943,392.93272
144,TOI-237 b,1.43488,2.6665769,1.3632304,394.31521
145,K2-384 e,1.3452,2.3741752,1.3285043,395.19858
146,Gl 686 b,2.4662,6.6235356,1.6388182,395.2593
147,GJ 3341 b,2.45499,6.6108225,1.6409785,395.45551
148,Kepler-138 d,1.21068,0.63883429,0.726406,398.26165
149,Kepler-1101 b,2.4662,6.6743881,1.6450973,398.33089
150,TOI-270 d,2.1299,4.7801332,1.4980986,399.92197
151,Kepler-1459 b,1.35641,2.4186711,1.3353433,400.3172
152,Kepler-310 d,2.4662,6.9985726,1.6845759,400.4771
153,GJ 1061 b,1.09858,1.3698387,1.1166546,400.57422
154,HD 40307 f,2.1299,5.2123792,1.5643661,400.73879
155,Kepler-367 c,1.19947,1.8688287,1.2482169,401.01485
156,Kepler-1874 b,2.20837,5.5302073,1.5824674,402.24929
157,G 264-012 c,1.75997,3.7503704,1.4597701,403.54416
158,Kepler-1802 c,2.32047,6.0069493,1.6089369,404.06386
159,K2-3 c,1.55819,2.1389825,1.1716379,404.67798
160,Kepler-55 c,2.20837,69.922161,5.6269298,405.162
161,K2-240 c,1.80481,3.9092844,1.4717461,405.44225
162,TOI-2136 b,2.18595,6.3692732,1.7069658,406.94273
163,Kepler-786 b,2.43257,6.4836913,1.6325951,407.4938
164,Kepler-1582 b,1.49093,2.8254909,1.3766335,409.14493
166,Kepler-445 d,1.2331,2.0976648,1.3042742,409.95714
